date,amount,category,description
01-11-2024,550.0,Income,Freelance Work  
02-11-2024,720.0,Expense,Groceries  
03-11-2024,3000.0,Income,Salary  
04-11-2024,180.0,Expense,Dining Out  
05-11-2024,900.0,Income,Consulting  
06-11-2024,150.0,Expense,Transport  
07-11-2024,320.0,Expense,Entertainment  
08-11-2024,1500.0,Income,Part-time Job  
09-11-2024,450.0,Expense,Shopping  
10-11-2024,1800.0,Income,Bonus  
11-11-2024,220.0,Expense,Subscriptions  
12-11-2024,2600.0,Income,Project Delivery  
13-11-2024,190.0,Expense,Books  
14-11-2024,700.0,Expense,Rent  
15-11-2024,350.0,Income,Side Hustle  
16-11-2024,480.0,Expense,Utilities  
17-11-2024,2900.0,Income,Freelance Project  
18-11-2024,210.0,Expense,Coffee  
19-11-2024,950.0,Expense,Health Insurance  
20-11-2024,2000.0,Income,Consulting  
21-11-2024,430.0,Expense,Car Maintenance  
22-11-2024,800.0,Expense,Electronics  
23-11-2024,600.0,Income,Photography  
24-11-2024,1200.0,Income,Creative Work  
25-11-2024,570.0,Expense,Travel  
26-11-2024,390.0,Expense,Personal Care  
27-11-2024,5000.0,Income,Big Project Completion  
28-11-2024,250.0,Expense,Snacks  
29-11-2024,850.0,Expense,Utility Bills  
30-11-2024,400.0,Income,Extra Hours  
